Model,Year,Brand,Kms_driven,Fuel_type,Price
Toyota Innova 2.5,2008,Toyota,202500, Diesel,455000
Hyundai Creta,2019,Hyundai,29800, Diesel,1075000
Nissan Micra XV,2014,Nissan,65421, Diesel ,475000
Maruti Suzuki Swift,2013,Maruti,27000, Petrol,399999
Hyundai Creta,2017,Hyundai,64762, Petrol ,1035699
Hyundai Grand i10,2015,Hyundai,90342, Petrol ,407699
Maruti Suzuki Wagon,2018,Maruti,42555, Petrol ,433399
Maruti Suzuki Ritz,2015,Maruti,25440, Petrol ,400499
Maruti Suzuki Celerio,2016,Maruti,43752, Petrol ,444299
Honda Brio,2014,Honda,44857, Petrol ,380099
Honda Amaze,2018,Honda,13095, Petrol ,631199
Renault Kwid RxL,2019,Renault,31755, Petrol ,371099
Maruti Suzuki Ertiga,2021,Maruti,35063, Petrol + CNG ,1083399
Kia Seltos,2020,Kia,6313, Petrol ,1899099
Maruti Suzuki Wagon,2020,Maruti,4616, Petrol ,566099
Hyundai Grand i10,2018,Hyundai,17086, Petrol ,547599
Maruti Suzuki Wagon,2021,Maruti,3032, Petrol ,720999
Maruti Suzuki Wagon,2015,Maruti,9797, Petrol + CNG ,406099
Hyundai EON Era,2018,Hyundai,30107, Petrol ,345899
Maruti Suzuki Wagon,2016,Maruti,20544, Petrol ,371099
Hyundai i10 Sportz,2013,Hyundai,16000, Petrol,360000
Honda Mobilio S,2016,Honda,80000, CNG ,600000
Maruti Suzuki Wagon,2009,Maruti,85000, Petrol,195000
Honda City 1.5,2012,Honda,40000, Petrol,391000
Honda City VX,2018,Honda,21000, Petrol,990000
Hyundai Xcent S,2014,Hyundai,61000, Petrol,365000
Maruti Suzuki Swift,2011,Maruti,60000, Petrol,265000
Skoda Rapid,2013,Skoda,77935, Petrol,325000
Volkswagen Vento,2015,Volkswagen,38552, Petrol ,553599
Maruti Suzuki Dzire,2017,Maruti,37954, Petrol ,679299
Tata Nexon,2019,Tata,8058, Petrol ,996299
Ford Figo Aspire,2018,Ford,50308, Petrol ,497799
Ford Figo Aspire,2018,Ford,17724, Petrol ,555599
Renault Kwid RXT,2017,Renault,5788, Petrol ,369399
Maruti Suzuki Celerio,2016,Maruti,65301, Petrol ,406899
Maruti Suzuki Swift,2019,Maruti,16391, Petrol ,624999
Hyundai Grand i10,2017,Hyundai,41460, Petrol ,467799
Hyundai Creta,2018,Hyundai,31178, Petrol ,1243499
Maruti Suzuki Vitara,2016,Maruti,82808, Diesel ,709799
Tata Nexon,2021,Tata,15790, Petrol ,1158799
Maruti Suzuki Swift,2019,Maruti,30117, Petrol ,666699
Maruti Suzuki S,2017,Maruti,24356, Diesel ,870899
Maruti Suzuki Wagon,2018,Maruti,63205, Petrol + CNG ,468499
Honda Jazz,2016,Honda,74645, Petrol ,481799
Toyota Fortuner 2.8,2012,Toyota,221000, Diesel,1750000
Hyundai Grand i10,2017,Hyundai,29287, Petrol,610000
Tata Nano AMT,2016,Tata,9973, Petrol,275000
Honda Amaze 1.2,2015,Honda,57000, Petrol,525000
Hyundai Grand i10,2015,Hyundai,15000, Petrol,451000
Chevrolet Cruze LTZ,2013,Chevrolet,117000, Diesel,399999
Hyundai Sonata Embera,2010,Hyundai,110000, Diesel,561000
Tata Harrier XT,2021,Tata,5000, Diesel ,1850000
Maruti Suzuki S,2019,Maruti,27547, Petrol ,464299
Hyundai Verna 1.6,2017,Hyundai,32294, Petrol ,747199
Maruti Suzuki Dzire,2017,Maruti,35068, Petrol ,716899
Hyundai Grand i10,2015,Hyundai,37356, Petrol ,377599
Maruti Suzuki Ciaz,2018,Maruti,15002, Petrol ,801799
Renault Duster RXZ,2020,Renault,28417, Petrol ,916399
